,sample_id,label
0,TEST_0000,1
1,TEST_0001,1
2,TEST_0002,0
3,TEST_0003,1
4,TEST_0004,0
5,TEST_0005,0
6,TEST_0006,0
7,TEST_0007,0
8,TEST_0008,0
9,TEST_0009,1
10,TEST_0010,0
11,TEST_0011,1
12,TEST_0012,0
13,TEST_0013,1
14,TEST_0014,0
15,TEST_0015,1
16,TEST_0016,0
17,TEST_0017,1
18,TEST_0018,0
19,TEST_0019,0
20,TEST_0020,0
21,TEST_0021,0
22,TEST_0022,0
23,TEST_0023,1
24,TEST_0024,1
25,TEST_0025,0
26,TEST_0026,0
27,TEST_0027,0
28,TEST_0028,0
29,TEST_0029,0
30,TEST_0030,1
31,TEST_0031,1
32,TEST_0032,1
33,TEST_0033,1
34,TEST_0034,0
35,TEST_0035,1
36,TEST_0036,0
37,TEST_0037,0
38,TEST_0038,1
39,TEST_0039,1
40,TEST_0040,1
41,TEST_0041,1
42,TEST_0042,1
43,TEST_0043,0
44,TEST_0044,0
45,TEST_0045,1
46,TEST_0046,0
47,TEST_0047,0
48,TEST_0048,0
49,TEST_0049,0
50,TEST_0050,0
51,TEST_0051,0
52,TEST_0052,1
53,TEST_0053,0
54,TEST_0054,0
55,TEST_0055,0
56,TEST_0056,1
57,TEST_0057,1
58,TEST_0058,1
59,TEST_0059,1
60,TEST_0060,0
61,TEST_0061,0
62,TEST_0062,1
63,TEST_0063,1
64,TEST_0064,1
65,TEST_0065,0
66,TEST_0066,1
67,TEST_0067,0
68,TEST_0068,0
69,TEST_0069,0
70,TEST_0070,0
71,TEST_0071,0
72,TEST_0072,1
73,TEST_0073,0
74,TEST_0074,1
75,TEST_0075,0
76,TEST_0076,0
77,TEST_0077,1
78,TEST_0078,1
79,TEST_0079,0
80,TEST_0080,0
81,TEST_0081,0
82,TEST_0082,0
83,TEST_0083,1
84,TEST_0084,1
85,TEST_0085,0
86,TEST_0086,0
87,TEST_0087,1
88,TEST_0088,0
89,TEST_0089,0
90,TEST_0090,1
91,TEST_0091,1
92,TEST_0092,0
93,TEST_0093,1
94,TEST_0094,0
95,TEST_0095,1
96,TEST_0096,1
97,TEST_0097,1
98,TEST_0098,0
99,TEST_0099,0
100,TEST_0100,0
101,TEST_0101,0
102,TEST_0102,0
103,TEST_0103,0
104,TEST_0104,0
105,TEST_0105,0
106,TEST_0106,1
107,TEST_0107,0
108,TEST_0108,0
109,TEST_0109,0
110,TEST_0110,0
111,TEST_0111,0
112,TEST_0112,0
113,TEST_0113,1
114,TEST_0114,0
115,TEST_0115,0
116,TEST_0116,0
117,TEST_0117,1
118,TEST_0118,1
119,TEST_0119,0
120,TEST_0120,0
121,TEST_0121,0
122,TEST_0122,0
123,TEST_0123,0
124,TEST_0124,0
125,TEST_0125,1
126,TEST_0126,0
127,TEST_0127,1
128,TEST_0128,1
129,TEST_0129,0
130,TEST_0130,1
131,TEST_0131,1
132,TEST_0132,0
133,TEST_0133,0
134,TEST_0134,0
135,TEST_0135,0
136,TEST_0136,0
137,TEST_0137,0
138,TEST_0138,0
139,TEST_0139,1
140,TEST_0140,0
141,TEST_0141,1
142,TEST_0142,0
143,TEST_0143,0
144,TEST_0144,0
145,TEST_0145,0
146,TEST_0146,0
147,TEST_0147,1
148,TEST_0148,0
149,TEST_0149,0
150,TEST_0150,0
151,TEST_0151,1
152,TEST_0152,0
153,TEST_0153,1
154,TEST_0154,1
155,TEST_0155,0
156,TEST_0156,0
157,TEST_0157,0
158,TEST_0158,1
159,TEST_0159,0
160,TEST_0160,1
161,TEST_0161,0
162,TEST_0162,1
163,TEST_0163,0
164,TEST_0164,0
165,TEST_0165,0
166,TEST_0166,0
167,TEST_0167,1
168,TEST_0168,1
169,TEST_0169,0
170,TEST_0170,1
171,TEST_0171,0
172,TEST_0172,1
173,TEST_0173,1
174,TEST_0174,0
175,TEST_0175,1
176,TEST_0176,0
177,TEST_0177,1
178,TEST_0178,0
179,TEST_0179,1
180,TEST_0180,0
181,TEST_0181,0
182,TEST_0182,0
183,TEST_0183,0
184,TEST_0184,1
185,TEST_0185,0
186,TEST_0186,1
187,TEST_0187,0
188,TEST_0188,0
189,TEST_0189,1
190,TEST_0190,1
191,TEST_0191,0
192,TEST_0192,0
193,TEST_0193,1
194,TEST_0194,0
195,TEST_0195,0
196,TEST_0196,0
197,TEST_0197,0
198,TEST_0198,1
199,TEST_0199,0
200,TEST_0200,0
201,TEST_0201,0
202,TEST_0202,0
203,TEST_0203,0
204,TEST_0204,0
205,TEST_0205,0
206,TEST_0206,1
207,TEST_0207,1
208,TEST_0208,0
209,TEST_0209,0
210,TEST_0210,1
211,TEST_0211,0
212,TEST_0212,0
213,TEST_0213,1
214,TEST_0214,0
215,TEST_0215,1
216,TEST_0216,1
217,TEST_0217,0
218,TEST_0218,0
219,TEST_0219,0
220,TEST_0220,0
221,TEST_0221,1
222,TEST_0222,0
223,TEST_0223,1
224,TEST_0224,0
225,TEST_0225,0
226,TEST_0226,0
227,TEST_0227,0
228,TEST_0228,1
229,TEST_0229,0
230,TEST_0230,0
231,TEST_0231,0
232,TEST_0232,0
233,TEST_0233,0
234,TEST_0234,0
235,TEST_0235,0
236,TEST_0236,0
237,TEST_0237,0
238,TEST_0238,0
239,TEST_0239,1
240,TEST_0240,0
241,TEST_0241,0
242,TEST_0242,1
243,TEST_0243,0
244,TEST_0244,0
245,TEST_0245,1
246,TEST_0246,0
247,TEST_0247,1
248,TEST_0248,0
249,TEST_0249,0
250,TEST_0250,1
251,TEST_0251,0
252,TEST_0252,1
253,TEST_0253,1
254,TEST_0254,0
255,TEST_0255,1
256,TEST_0256,0
257,TEST_0257,1
258,TEST_0258,1
259,TEST_0259,0
260,TEST_0260,1
261,TEST_0261,0
262,TEST_0262,0
263,TEST_0263,0
264,TEST_0264,1
265,TEST_0265,1
266,TEST_0266,0
267,TEST_0267,0
268,TEST_0268,0
269,TEST_0269,1
270,TEST_0270,0
271,TEST_0271,1
272,TEST_0272,0
273,TEST_0273,0
274,TEST_0274,1
275,TEST_0275,0
276,TEST_0276,0
277,TEST_0277,0
278,TEST_0278,0
279,TEST_0279,0
280,TEST_0280,1
281,TEST_0281,0
282,TEST_0282,0
283,TEST_0283,0
284,TEST_0284,0
285,TEST_0285,0
286,TEST_0286,0
287,TEST_0287,0
288,TEST_0288,0
289,TEST_0289,0
290,TEST_0290,1
291,TEST_0291,1
292,TEST_0292,0
293,TEST_0293,0
294,TEST_0294,0
295,TEST_0295,1
296,TEST_0296,0
297,TEST_0297,1
298,TEST_0298,1
299,TEST_0299,0
300,TEST_0300,1
301,TEST_0301,0
302,TEST_0302,0
303,TEST_0303,1
304,TEST_0304,0
305,TEST_0305,0
306,TEST_0306,0
307,TEST_0307,1
308,TEST_0308,0
309,TEST_0309,1
310,TEST_0310,1
311,TEST_0311,1
312,TEST_0312,1
313,TEST_0313,0
314,TEST_0314,1
315,TEST_0315,0
316,TEST_0316,0
317,TEST_0317,0
318,TEST_0318,0
319,TEST_0319,0
320,TEST_0320,0
321,TEST_0321,1
322,TEST_0322,0
323,TEST_0323,0
324,TEST_0324,0
325,TEST_0325,0
326,TEST_0326,0
327,TEST_0327,0
328,TEST_0328,1
329,TEST_0329,1
330,TEST_0330,1
331,TEST_0331,1
332,TEST_0332,0
333,TEST_0333,1
334,TEST_0334,1
335,TEST_0335,0
336,TEST_0336,0
337,TEST_0337,1
338,TEST_0338,0
339,TEST_0339,0
340,TEST_0340,0
341,TEST_0341,0
342,TEST_0342,1
343,TEST_0343,0
344,TEST_0344,0
345,TEST_0345,1
346,TEST_0346,0
347,TEST_0347,1
348,TEST_0348,1
349,TEST_0349,0
350,TEST_0350,0
351,TEST_0351,1
352,TEST_0352,1
353,TEST_0353,1
354,TEST_0354,0
355,TEST_0355,0
356,TEST_0356,0
357,TEST_0357,1
358,TEST_0358,1
359,TEST_0359,1
360,TEST_0360,0
361,TEST_0361,0
362,TEST_0362,1
363,TEST_0363,0
364,TEST_0364,0
365,TEST_0365,0
366,TEST_0366,0
367,TEST_0367,0
368,TEST_0368,0
369,TEST_0369,0
370,TEST_0370,0
371,TEST_0371,0
372,TEST_0372,1
373,TEST_0373,0
374,TEST_0374,1
375,TEST_0375,0
376,TEST_0376,0
377,TEST_0377,1
378,TEST_0378,0
379,TEST_0379,1
380,TEST_0380,0
381,TEST_0381,0
382,TEST_0382,0
383,TEST_0383,1
384,TEST_0384,0
385,TEST_0385,1
386,TEST_0386,0
387,TEST_0387,1
388,TEST_0388,0
389,TEST_0389,0
390,TEST_0390,0
391,TEST_0391,0
392,TEST_0392,1
393,TEST_0393,1
394,TEST_0394,0
395,TEST_0395,1
396,TEST_0396,0
397,TEST_0397,0
398,TEST_0398,0
399,TEST_0399,0
400,TEST_0400,0
401,TEST_0401,0
402,TEST_0402,1
403,TEST_0403,0
404,TEST_0404,0
405,TEST_0405,0
406,TEST_0406,1
407,TEST_0407,0
408,TEST_0408,1
409,TEST_0409,0
410,TEST_0410,1
411,TEST_0411,1
412,TEST_0412,1
413,TEST_0413,0
414,TEST_0414,1
415,TEST_0415,0
416,TEST_0416,0
417,TEST_0417,0
418,TEST_0418,0
419,TEST_0419,1
420,TEST_0420,0
421,TEST_0421,1
422,TEST_0422,1
423,TEST_0423,0
