,sample_id,label
0,TEST_0000,0
1,TEST_0001,0
2,TEST_0002,2
3,TEST_0003,0
4,TEST_0004,0
5,TEST_0005,0
6,TEST_0006,0
7,TEST_0007,0
8,TEST_0008,0
9,TEST_0009,0
10,TEST_0010,1
11,TEST_0011,0
12,TEST_0012,1
13,TEST_0013,0
14,TEST_0014,0
15,TEST_0015,1
16,TEST_0016,0
17,TEST_0017,0
18,TEST_0018,0
19,TEST_0019,2
20,TEST_0020,0
21,TEST_0021,0
22,TEST_0022,0
23,TEST_0023,0
24,TEST_0024,0
25,TEST_0025,0
26,TEST_0026,1
27,TEST_0027,0
28,TEST_0028,0
29,TEST_0029,1
30,TEST_0030,0
31,TEST_0031,0
32,TEST_0032,1
33,TEST_0033,0
34,TEST_0034,0
35,TEST_0035,0
36,TEST_0036,0
37,TEST_0037,0
38,TEST_0038,0
39,TEST_0039,0
40,TEST_0040,0
41,TEST_0041,1
42,TEST_0042,0
43,TEST_0043,1
44,TEST_0044,1
45,TEST_0045,0
46,TEST_0046,0
47,TEST_0047,1
48,TEST_0048,1
49,TEST_0049,0
50,TEST_0050,0
51,TEST_0051,0
52,TEST_0052,1
53,TEST_0053,1
54,TEST_0054,0
55,TEST_0055,0
56,TEST_0056,1
57,TEST_0057,0
58,TEST_0058,0
59,TEST_0059,0
60,TEST_0060,0
61,TEST_0061,0
62,TEST_0062,1
63,TEST_0063,0
64,TEST_0064,0
65,TEST_0065,0
66,TEST_0066,0
67,TEST_0067,1
68,TEST_0068,1
69,TEST_0069,0
70,TEST_0070,0
71,TEST_0071,0
72,TEST_0072,0
73,TEST_0073,0
74,TEST_0074,0
75,TEST_0075,1
76,TEST_0076,0
77,TEST_0077,0
78,TEST_0078,0
79,TEST_0079,0
80,TEST_0080,0
81,TEST_0081,0
82,TEST_0082,0
83,TEST_0083,0
84,TEST_0084,1
85,TEST_0085,0
86,TEST_0086,0
87,TEST_0087,0
88,TEST_0088,1
89,TEST_0089,2
90,TEST_0090,0
91,TEST_0091,0
92,TEST_0092,2
93,TEST_0093,0
94,TEST_0094,0
95,TEST_0095,0
96,TEST_0096,1
97,TEST_0097,0
98,TEST_0098,0
99,TEST_0099,0
100,TEST_0100,1
101,TEST_0101,2
102,TEST_0102,1
103,TEST_0103,0
104,TEST_0104,0
105,TEST_0105,0
